Gen_num,Gen_name,Bus,Tech,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1,101_Oil_CT_1,101,Oil_CT,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
2,101_Oil_CT_2,101,Oil_CT,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
3,101_Coal_1,101,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
4,101_Coal_2,101,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
9,102_Oil_CT_1,102,Oil_CT,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
10,102_Oil_CT_2,102,Oil_CT,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
11,102_Coal_1,102,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
12,102_Coal_2,102,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
17,107_Gas_CC_1,107,Gas_CC,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
18,113_Gas_CT_1,113,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
19,113_Gas_CT_2,113,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
20,113_Gas_CT_3,113,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
21,113_Gas_CT_4,113,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
23,115_Oil_ST_1,115,Oil_ST,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
24,115_Oil_ST_2,115,Oil_ST,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
25,115_Coal_1,115,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
26,116_Coal_1,116,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
27,118_Gas_CC_1,118,Gas_CC,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
29,121_Nuclear_1,121,Nuclear,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035,0.81035
30,122_Hydro_1,122,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,122_Hydro_2,122,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,122_Hydro_3,122,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,122_Hydro_4,122,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,122_Hydro_5,122,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,122_Hydro_6,122,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,123_Coal_1,123,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
38,123_Coal_2,123,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
39,123_Gas_CT_1,123,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
40,123_Gas_CT_2,123,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
41,123_Gas_CT_3,123,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
42,201_Oil_CT_1,201,Oil_CT,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
43,201_Oil_CT_2,201,Oil_CT,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
44,201_Coal_1,201,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
45,201_Hydro_1,201,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,202_Oil_CT_1,202,Oil_CT,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
47,202_Oil_CT_2,202,Oil_CT,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494,10.3494
48,202_Coal_1,202,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
49,202_Coal_2,202,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
50,207_Gas_CT_1,207,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
51,207_Gas_CT_2,207,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
52,213_Gas_CC_1,213,Gas_CC,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
53,213_Gas_CT_1,213,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
54,213_Gas_CT_2,213,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
55,215_Gas_CT_1,215,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
56,215_Gas_CT_1,215,Gas_CT,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
57,215_Hydro_1,215,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,215_Hydro_2,215,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,215_Hydro_3,215,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,216_Coal_1,216,Coal,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399,2.11399
62,218_Gas_CC_1,218,Gas_CC,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
63,221_Gas_CC_1,221,Gas_CC,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722,3.88722
64,222_Hydro_1,222,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,222_Hydro_2,222,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
