Line_Number,EXIST,CAND,From_Bus_Number,From_Area,From_Bus_Voltage (kV),From_Bus_Name,To_Bus_Number,To_Area,To_Bus_Voltage (kV),To_Bus_Name,Substation?,Interface?,Rating_F,Rating_B,R,X,B,Length,Tx_cost,Tx_limit,Lead_Time
1,1,0,101,1,138,Abel,102,1,138,Adams,NO,NO,61.25,61.25,0.003,0.014,0.461,3,62000,262.5,0
2,1,0,101,1,138,Abel,103,1,138,Adler,NO,NO,61.25,61.25,0.055,0.211,0.057,55,1136666.667,262.5,0
3,1,0,101,1,138,Abel,105,1,138,Aiken,NO,NO,61.25,61.25,0.022,0.085,0.023,22,454666.6667,262.5,0
4,1,0,102,1,138,Adams,104,1,138,Agricola,NO,NO,61.25,61.25,0.033,0.127,0.034,33,682000,262.5,0
5,1,0,102,1,138,Adams,106,1,138,Alber,NO,NO,61.25,61.25,0.05,0.192,0.052,50,1033333.333,262.5,0
6,1,0,103,1,138,Adler,109,1,138,Ali,NO,NO,61.25,61.25,0.031,0.119,0.032,31,640666.6667,262.5,0
7,1,0,103,1,138,Adler,124,1,230,Avery,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
8,1,0,104,1,138,Agricola,109,1,138,Ali,NO,NO,61.25,61.25,0.027,0.104,0.028,27,558000,262.5,0
9,1,0,105,1,138,Aiken,110,1,138,Allen,NO,NO,61.25,61.25,0.023,0.088,0.024,23,475333.3333,262.5,0
10,1,0,106,1,138,Alber,110,1,138,Allen,NO,NO,61.25,61.25,0.014,0.061,2.459,16,330666.6667,262.5,0
11,1,0,107,1,138,Alder,108,1,138,Alger,NO,NO,61.25,61.25,0.016,0.061,0.017,16,330666.6667,262.5,0
12,1,0,107,1,138,Alder,203,2,138,Baffin,NO,YES,87.5,87.5,0.042,0.161,0.044,42,868000,262.5,0
13,1,0,108,1,138,Alger,109,1,138,Ali,NO,NO,61.25,61.25,0.043,0.165,0.045,43,888666.6667,262.5,0
14,1,0,108,1,138,Alger,110,1,138,Allen,NO,NO,61.25,61.25,0.043,0.165,0.045,43,888666.6667,262.5,0
15,1,0,109,1,138,Ali,111,1,230,Anna,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
16,1,0,109,1,138,Ali,112,1,230,Archer,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
17,1,0,110,1,138,Allen,111,1,230,Anna,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
18,1,0,110,1,138,Allen,112,1,230,Archer,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
19,1,0,111,1,230,Anna,113,1,230,Arne,NO,NO,175,175,0.006,0.048,0.1,33,247866.6667,750,0
20,1,0,111,1,230,Anna,114,1,230,Arnold,NO,NO,175,175,0.005,0.042,0.088,29,217822.2222,750,0
21,1,0,112,1,230,Archer,113,1,230,Arne,NO,NO,175,175,0.006,0.048,0.1,33,247866.6667,750,0
22,1,0,112,1,230,Archer,123,1,230,Austen,NO,NO,175,175,0.012,0.097,0.203,67,503244.4444,750,0
23,1,0,113,1,230,Arne,123,1,230,Austen,NO,NO,175,175,0.011,0.087,0.182,60,450666.6667,750,0
24,1,0,113,1,230,Arne,215,2,230,Barton,NO,YES,250,250,0.01,0.075,0.158,52,390577.7778,750,0
25,1,0,114,1,230,Arnold,116,1,230,Asser,NO,NO,175,175,0.005,0.059,0.082,27,202800,750,0
26,1,0,115,1,230,Arthur,116,1,230,Asser,NO,NO,175,175,0.002,0.017,0.036,12,90133.33333,750,0
27,1,0,115,1,230,Arthur,121,1,230,Attlee,NO,NO,175,175,0.006,0.049,0.103,34,255377.7778,750,0
28,1,0,115,1,230,Arthur,121,1,230,Attlee,NO,NO,175,175,0.006,0.049,0.103,34,255377.7778,750,0
29,1,0,115,1,230,Arthur,124,1,230,Avery,NO,NO,175,175,0.007,0.052,0.109,36,270400,750,0
30,1,0,116,1,230,Asser,117,1,230,Aston,NO,NO,175,175,0.003,0.026,0.055,18,135200,750,0
31,1,0,116,1,230,Asser,119,1,230,Attar,NO,NO,175,175,0.003,0.023,0.049,16,120177.7778,750,0
32,1,0,117,1,230,Aston,118,1,230,Astor,NO,NO,175,175,0.002,0.014,0.03,10,75111.11111,750,0
33,1,0,117,1,230,Aston,122,1,230,Aubrey,NO,NO,175,175,0.014,0.105,0.221,73,548311.1111,750,0
34,1,0,118,1,230,Astor,121,1,230,Attlee,NO,NO,175,175,0.003,0.026,0.055,18,135200,750,0
35,1,0,118,1,230,Astor,121,1,230,Attlee,NO,NO,175,175,0.003,0.026,0.055,18,135200,750,0
36,1,0,119,1,230,Attar,120,1,230,Attila,NO,NO,175,175,0.005,0.04,0.083,27.5,206555.5556,750,0
37,1,0,119,1,230,Attar,120,1,230,Attila,NO,NO,175,175,0.005,0.04,0.083,27.5,206555.5556,750,0
38,1,0,120,1,230,Attila,123,1,230,Austen,NO,NO,175,175,0.003,0.022,0.046,15,112666.6667,750,0
39,1,0,120,1,230,Attila,123,1,230,Austen,NO,NO,175,175,0.003,0.022,0.046,15,112666.6667,750,0
40,1,0,121,1,230,Attlee,122,1,230,Aubrey,NO,NO,175,175,0.009,0.068,0.142,47,353022.2222,750,0
41,1,0,123,1,230,Austen,217,2,230,Bates,NO,YES,250,250,0.01,0.074,0.155,51,383066.6667,750,0
42,1,0,201,2,138,Bach,202,2,138,Bacon,NO,NO,61.25,61.25,0.003,0.014,0.461,3,62000,262.5,0
43,1,0,201,2,138,Bach,203,2,138,Baffin,NO,NO,61.25,61.25,0.055,0.211,0.057,55,1136666.667,262.5,0
44,1,0,201,2,138,Bach,205,2,138,Bain,NO,NO,61.25,61.25,0.022,0.085,0.023,22,454666.6667,262.5,0
45,1,0,202,2,138,Bacon,204,2,138,Bailey,NO,NO,61.25,61.25,0.033,0.127,0.034,33,682000,262.5,0
46,1,0,202,2,138,Bacon,206,2,138,Bajer,NO,NO,61.25,61.25,0.05,0.192,0.052,50,1033333.333,262.5,0
47,1,0,203,2,138,Baffin,209,2,138,Balzac,NO,NO,61.25,61.25,0.031,0.119,0.032,31,640666.6667,262.5,0
48,1,0,203,2,138,Baffin,224,2,230,Bordet,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
49,1,0,204,2,138,Bailey,209,2,138,Balzac,NO,NO,61.25,61.25,0.027,0.104,0.028,27,558000,262.5,0
50,1,0,205,2,138,Bain,210,2,138,Banks,NO,NO,61.25,61.25,0.023,0.088,0.024,23,475333.3333,262.5,0
51,1,0,206,2,138,Bajer,210,2,138,Banks,NO,NO,61.25,61.25,0.014,0.061,2.459,16,330666.6667,262.5,0
52,1,0,207,2,138,Baker,208,2,138,Balch,NO,NO,61.25,61.25,0.016,0.061,0.017,16,330666.6667,262.5,0
53,1,0,208,2,138,Balch,209,2,138,Balzac,NO,NO,61.25,61.25,0.043,0.165,0.045,43,888666.6667,262.5,0
54,1,0,208,2,138,Balch,210,2,138,Banks,NO,NO,61.25,61.25,0.043,0.165,0.045,43,888666.6667,262.5,0
55,1,0,209,2,138,Balzac,211,2,230,Bardeen,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
56,1,0,209,2,138,Balzac,212,2,230,Barkla,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
57,1,0,210,2,138,Banks,211,2,230,Bardeen,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
58,1,0,210,2,138,Banks,212,2,230,Barkla,YES,NO,140,140,0.002,0.084,0,0,7511.111111,600,0
59,1,0,211,2,230,Bardeen,213,2,230,Barlow,NO,NO,175,175,0.006,0.048,0.1,33,247866.6667,750,0
60,1,0,211,2,230,Bardeen,214,2,230,Barry,NO,NO,175,175,0.005,0.042,0.088,29,217822.2222,750,0
