Tech_num,Tech_name,Cost,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
17,ES_4hr_Cand,Power,335.2999324,336.366718,337.5354921,338.8185834,340.2303914,341.7878397,339.466908,337.1286675,334.7724438,332.3975271,330.0031698,327.5885837,325.1529375,322.6953539,320.214906,317.7106139,315.1814409,312.6262895,310.0439966,307.4333284,304.7929755,302.1215464,299.4175615,296.6794457,293.9055203,291.0939951
18,ES_6hr_Cand,Power,335.2999324,336.366718,337.5354921,338.8185834,340.2303914,341.7878397,339.466908,337.1286675,334.7724438,332.3975271,330.0031698,327.5885837,325.1529375,322.6953539,320.214906,317.7106139,315.1814409,312.6262895,310.0439966,307.4333284,304.7929755,302.1215464,299.4175615,296.6794457,293.9055203,291.0939951
19,ES_8hr_Cand,Power,335.2999324,336.366718,337.5354921,338.8185834,340.2303914,341.7878397,339.466908,337.1286675,334.7724438,332.3975271,330.0031698,327.5885837,325.1529375,322.6953539,320.214906,317.7106139,315.1814409,312.6262895,310.0439966,307.4333284,304.7929755,302.1215464,299.4175615,296.6794457,293.9055203,291.0939951
20,ES_10hr_Cand,Power,335.2999324,336.366718,337.5354921,338.8185834,340.2303914,341.7878397,339.466908,337.1286675,334.7724438,332.3975271,330.0031698,327.5885837,325.1529375,322.6953539,320.214906,317.7106139,315.1814409,312.6262895,310.0439966,307.4333284,304.7929755,302.1215464,299.4175615,296.6794457,293.9055203,291.0939951
21,ES_100hr_Cand,Power,335.2999324,336.366718,337.5354921,338.8185834,340.2303914,341.7878397,339.466908,337.1286675,334.7724438,332.3975271,330.0031698,327.5885837,325.1529375,322.6953539,320.214906,317.7106139,315.1814409,312.6262895,310.0439966,307.4333284,304.7929755,302.1215464,299.4175615,296.6794457,293.9055203,291.0939951
22,Li_Ion_Cand,Power,109.641291,109.9901242,110.3723071,110.7918712,111.2535249,111.7628022,111.0038699,110.2392777,109.4688051,108.69222,107.9092779,107.1197211,106.3232778,105.5196611,104.7085678,103.8896776,103.0626515,102.2271307,101.3827346,100.52906,99.6656787,98.79213564,97.90794699,97.01259768,96.10553887,95.18618513
23,Flow_Cand,Power,172.128833,172.6764757,173.276475,173.9351599,174.6599226,175.4594508,174.2679824,173.0676284,171.8580426,170.6388606,169.4096986,168.170152,166.9197941,165.6581744,164.3848172,163.0992193,161.8008487,160.4891418,159.1635016,157.8232947,156.467849,155.09645,153.7083383,152.3027052,150.878689,149.4353706
24,Grav_Cand,Power,945.0890339,948.0959161,951.3902669,955.0068365,958.9862118,963.3760943,956.8342287,950.2435757,943.6022347,936.908205,930.1593791,923.3535356,916.4883316,909.5612939,902.5698098,895.5111176,888.3822953,881.1802492,873.9017009,866.5431731,859.1009748,851.5711841,843.9496304,836.2318737,828.413183,820.4885121
25,PSH_Cand,Power,1861.078121,1866.999301,1873.486568,1880.60835,1888.444573,1897.08917,1884.206868,1871.228493,1858.150302,1844.968357,1831.678506,1818.276375,1804.757352,1791.116565,1777.348869,1763.448827,1749.410684,1735.228347,1720.895362,1706.404881,1691.749635,1676.921901,1661.913466,1646.715588,1631.31895,1615.713614
26,Therm_Cand,Power,1709.899589,1715.339782,1721.300076,1727.843344,1735.043017,1742.9854,1731.149548,1719.225428,1707.209602,1695.098448,1682.888154,1670.574702,1658.153851,1645.621128,1632.971806,1620.200888,1607.303087,1594.272806,1581.104113,1567.790718,1554.325943,1540.702691,1526.913417,1512.950088,1498.804144,1484.466457
27,CAES_Cand,Power,1197.011728,1200.820124,1204.992616,1209.573217,1214.613334,1220.173382,1211.887718,1203.540263,1195.128608,1186.650219,1178.102428,1169.48242,1160.787229,1152.013722,1143.15859,1134.218334,1125.189255,1116.067433,1106.848717,1097.528702,1088.102713,1078.565783,1068.91263,1059.13763,1049.234791,1039.197722
