Gen_num,Gen_name,Bus_num,Bus,Tech,Tech_Num,Cap,MinCap,CandCap,SystCap,PlannedYr,RetYr,RetCap,CapCred,LeadTime,YearAvail,HR,FOM,VOM,PTC,ITC,Lifetime,Ramp,FOR,CO2,SO2,NO2,TransAdder,MTTF,MTTR
1,101_Oil_CT_1,101,Abel,Oil_CT,5,20,8,0,0,2020,2030,20,0.95,0,2020,10.352,16821.03156,4.630629688,0,0,100,0.04,0.1,0,0,0,0,450,50
2,101_Oil_CT_2,101,Abel,Oil_CT,5,20,8,0,0,2020,2030,20,0.95,0,2020,10.352,16821.03156,4.630629688,0,0,100,0.04,0.1,0,0,0,0,450,50
3,101_Coal_1,101,Abel,Coal,2,76,30,0,0,2020,2030,76,0.95,0,2020,8.549,85074.35938,9.368948438,0,0,100,0.04,0.02,0,0,0,0,1960,40
4,101_Coal_2,101,Abel,Coal,2,76,30,0,0,2020,2040,76,0.95,0,2020,8.549,85074.35938,9.368948438,0,0,100,0.04,0.02,0,0,0,0,1960,40
5,101_PV_1,101,Abel,Solar,8,25.9,0,0,0,2020,2050,25.9,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
6,101_PV_2,101,Abel,Solar,8,26.7,0,0,0,2020,2050,26.7,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
7,101_PV_3,101,Abel,Solar,8,26.2,0,0,0,2020,2050,26.2,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
8,101_PV_4,101,Abel,Solar,8,25.8,0,0,0,2020,2050,25.8,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
9,102_Oil_CT_1,102,Adams,Oil_CT,5,20,8,0,0,2020,2030,20,0.95,0,2020,9.622,16821.03156,4.630629688,0,0,100,0.04,0.1,0,0,0,0,450,50
10,102_Oil_CT_2,102,Adams,Oil_CT,5,20,8,0,0,2020,2030,20,0.95,0,2020,9.622,16821.03156,4.630629688,0,0,100,0.04,0.1,0,0,0,0,450,50
11,102_Coal_1,102,Adams,Coal,2,76,30,0,0,2020,2040,76,0.95,0,2020,10.651,85074.35938,9.368948438,0,0,100,0.04,0.02,0,0,0,0,1960,40
12,102_Coal_2,102,Adams,Coal,2,76,30,0,0,2020,2040,76,0.95,0,2020,10.651,85074.35938,9.368948438,0,0,100,0.04,0.02,0,0,0,0,1960,40
13,102_PV_1,102,Adams,Solar,8,25.6,0,0,0,2020,2050,25.6,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
14,102_PV_2,102,Adams,Solar,8,25.3,0,0,0,2020,2050,25.3,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
15,103_PV_1,103,Adler,Solar,8,61.5,0,0,0,2020,2050,61.5,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
16,104_PV_1,104,Agricola,Solar,8,26.8,0,0,0,2020,2050,26.8,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
17,107_Gas_CC_1,107,Alder,Gas_CC,4,355,50,0,0,2020,2040,355,0.95,0,2020,7.854,32306.71875,2.046092188,0,0,100,0.05,0.033,0,0,0,0,967,33
18,113_Gas_CT_1,113,Arne,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,7.797,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
19,113_Gas_CT_2,113,Arne,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,7.797,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
20,113_Gas_CT_3,113,Arne,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,7.797,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
21,113_Gas_CT_4,113,Arne,Gas_CT,3,55,22,0,0,2020,2050,55,0.95,0,2020,7.797,25845.375,7.430545313,0,0,100,0.08,0.031,0,0,0,0,969,31
22,113_PV_1,113,Arne,Solar,8,93.6,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
23,115_Oil_ST_1,115,Arthur,Oil_ST,6,12,5,0,0,2020,2030,12,0.95,0,2020,12.913,32015.95828,1.076890625,0,0,100,0.04,0.02,0,0,0,0,2940,60
24,115_Oil_ST_2,115,Arthur,Oil_ST,6,12,5,0,0,2020,2030,12,0.95,0,2020,12.913,32015.95828,1.076890625,0,0,100,0.04,0.02,0,0,0,0,2940,60
25,115_Coal_1,115,Arthur,Coal,2,155,62,0,0,2020,2030,155,0.95,0,2020,12.796,85074.35938,9.368948438,0,0,100,0.04,0.04,0,0,0,0,960,40
26,116_Coal_1,116,Asser,Coal,2,155,62,0,0,2020,2030,155,0.95,0,2020,11.294,85074.35938,9.368948438,0,0,100,0.04,0.04,0,0,0,0,960,40
27,118_Gas_CC_1,118,Astor,Gas_CC,4,355,170,0,0,2020,2045,355,0.95,0,2020,8.351,32306.71875,2.046092188,0,0,100,0.05,0.033,0,0,0,0,967,33
28,119_PV_1,119,Attar,Solar,8,66.6,0,0,0,2020,2050,0,0.28,0,2020,0,17230.25,0,0,0,20,0,0,0,0,0,0,0,0
29,121_Nuclear_1,121,Attlee,Nuclear,1,400,396,0,0,2020,2055,0,0.95,0,2020,10,188455.8594,3.01529375,0,0,100,0,0.12,0,0,0,0,1100,150
30,122_Hydro_1,122,Aubrey,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
31,122_Hydro_2,122,Aubrey,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
32,122_Hydro_3,122,Aubrey,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
33,122_Hydro_4,122,Aubrey,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
34,122_Hydro_5,122,Aubrey,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
35,122_Hydro_6,122,Aubrey,Hydro,11,50,0,0,0,2020,2050,0,0.95,0,2020,3.412,69997.89063,0,0,0,30,1,0.01,0,0,0,0,1980,20
