Gen_num,Gen_name,Tech,Tech_Num,RTE,Charge_Eff,Discharge_Eff,Duration,Min_Duration,Max_Duration
94,313_Cecil_ES,ES,10,0.85,0.95,0.95,3,3,3
270,102_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
271,103_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
272,104_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
273,105_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
274,106_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
275,107_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
276,108_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
277,109_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
278,110_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
279,111_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
280,112_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
281,113_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
282,114_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
283,115_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
284,116_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
285,117_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
286,118_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
287,119_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
288,120_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
289,121_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
290,122_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
291,123_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
292,124_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
293,201_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
294,202_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
295,203_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
296,204_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
297,205_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
298,206_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
299,207_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
300,208_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
301,209_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
302,210_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
303,211_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
304,212_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
305,213_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
306,214_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
307,215_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
308,217_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
309,216_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
310,218_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
311,219_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
312,220_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
313,221_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
314,222_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
315,223_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
316,224_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
317,301_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
318,302_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
319,303_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
320,304_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
321,305_Li_Ion_Cand,Li_Ion_Cand,22,0.85,1,1,0,2,10
