Number,Bus_name,Bus_number,Load_share,LAT,LON,Voltage,Region
101,Abel,101,1.263157895,33.39610326,-113.835642,138,1
102,Adams,102,1.134502924,33.35767844,-113.8259335,138,1
103,Adler,103,2.105263158,33.53683282,-114.6703991,138,1
104,Agricola,104,0.865497076,33.81230352,-113.8254191,138,1
105,Aiken,105,0.830409357,33.65955984,-113.9990231,138,1
106,Alber,106,1.590643275,33.73803645,-114.1819242,138,1
107,Alder,107,1.461988304,34.69726196,-113.7013088,138,1
108,Alger,108,2,34.4592108,-113.7616436,138,1
109,Ali,109,2.046783626,33.92043627,-114.308281,138,1
110,Allen,110,2.280701754,33.91279307,-114.2929646,138,1
111,Anna,111,0,33.90438607,-114.3011177,230,1
112,Archer,112,0,33.91086601,-114.3134024,230,1
113,Arne,113,3.099415205,34.35428034,-114.274657,230,1
114,Arnold,114,2.269005848,33.77708609,-114.8199113,230,1
115,Arthur,115,3.707602339,33.50618372,-115.3295084,230,1
116,Asser,116,1.169590643,33.66103124,-115.321058,230,1
117,Aston,117,0,33.57523255,-115.6408087,230,1
118,Astor,118,3.894736842,33.54453082,-115.799956,230,1
119,Attar,119,2.116959064,33.86907891,-115.3691306,230,1
120,Attila,120,1.497076023,34.24457859,-115.2624699,230,1
121,Attlee,121,0,33.52712147,-116.070778,230,1
122,Aubrey,122,0,32.81886407,-116.3243473,230,1
123,Austen,123,0,34.38200027,-115.0687884,230,1
124,Avery,124,0,33.54296506,-114.6564883,230,1
201,Bach,201,1.263157895,36.2556636,-113.7214959,138,2
202,Bacon,202,1.134502924,36.28996256,-113.7459985,138,2
203,Baffin,203,2.105263158,35.35440226,-113.9759336,138,2
204,Bailey,204,0.865497076,36.19029231,-114.2218682,138,2
205,Bain,205,0.830409357,36.07922951,-113.9830412,138,2
206,Bajer,206,1.590643275,35.78739717,-113.8903468,138,2
207,Baker,207,1.461988304,36.05246663,-113.0828494,138,2
208,Balch,208,2,35.93381421,-113.3177011,138,2
209,Balzac,209,2.046783626,35.80510733,-114.1508325,138,2
210,Banks,210,2.280701754,35.78782341,-114.1628815,138,2
211,Bardeen,211,0,35.80148483,-114.1675516,230,2
212,Barkla,212,0,35.79144538,-114.1461651,230,2
213,Barlow,213,3.099415205,36.1460954,-114.6228964,230,2
214,Barry,214,2.269005848,35.56761113,-114.4925684,230,2
215,Barton,215,3.707602339,35.14859089,-114.5757743,230,2
216,Basov,216,1.169590643,35.26148957,-114.7307626,230,2
217,Bates,217,0,35.0877489,-114.9211636,230,2
218,Bayle,218,3.894736842,35.11490694,-115.0778823,230,2
219,Bede,219,2.116959064,35.4192172,-114.9791817,230,2
220,Beethoven,220,1.497076023,35.64669555,-115.4465869,230,2
221,Behring,221,0,35.3163216,-115.1979424,230,2
222,Bell,222,0,36.33098104,-115.2902095,230,2
223,Bloch,223,0,35.82434965,-115.5364456,230,2
224,Bordet,224,0,35.35643752,-113.9602525,230,2
301,Cabell,301,1.263157895,35.0475822,-118.8217654,138,3
302,Cabot,302,1.134502924,35.02993688,-118.8648595,138,3
303,Caesar,303,2.105263158,35.21754253,-118.0435499,138,3
304,Caine,304,0.865497076,34.63209145,-118.5635853,138,3
305,Calvin,305,0.830409357,34.87388488,-118.5104873,138,3
306,Camus,306,1.590643275,34.88716764,-118.2761997,138,3
307,Carew,307,1.461988304,34.10126562,-118.878178,138,3
308,Carrel,308,2,34.22471784,-118.6542579,138,3
309,Carter,309,2.046783626,34.73575793,-118.127342,138,3
310,Caruso,310,2.280701754,34.72931591,-118.1045248,138,3
311,Cary,311,0,34.74209387,-118.1119332,230,3
312,Caxton,312,0,34.72296307,-118.1198874,230,3
313,Cecil,313,3.099415205,34.26526814,-118.0188551,230,3
314,Chain,314,2.269005848,34.94496423,-117.6848792,230,3
315,Chase,315,3.707602339,35.26597012,-117.3864335,230,3
316,Chifa,316,1.169590643,35.13836711,-117.2515886,230,3
317,Chuhsi,317,0,35.37843341,-117.0558295,230,3
318,Clark,318,3.894736842,35.50581323,-116.9765714,230,3
319,Clay,319,2.116959064,34.9176312,-117.1244195,230,3
320,Clive,320,1.497076023,34.46246563,-117.0635083,230,3
321,Cobb,321,0,35.74534438,-117.1153628,230,3
322,Cole,322,0,36.43895848,-117.4852717,230,3
323,Comte,323,0,34.25300337,-117.1132211,230,3
324,Curie,324,0,35.20658182,-118.0348168,230,3
325,Curtiss,325,0,34.25189131,-117.1289772,230,3
