Gen_num,Gen_name,Bus_num,Bus,Tech,Tech_Num,LAT,LON
1,101_Oil_CT_1,101,Abel,Oil_CT,5,33.3961032628,-113.835641977
2,101_Oil_CT_2,101,Abel,Oil_CT,5,33.3961032628,-113.835641977
3,101_Coal_1,101,Abel,Coal,2,33.3961032628,-113.835641977
4,101_Coal_2,101,Abel,Coal,2,33.3961032628,-113.835641977
5,101_PV_1,101,Abel,Solar,8,33.3961032628,-113.835641977
6,101_PV_2,101,Abel,Solar,8,33.3961032628,-113.835641977
7,101_PV_3,101,Abel,Solar,8,33.3961032628,-113.835641977
8,101_PV_4,101,Abel,Solar,8,33.3961032628,-113.835641977
9,102_Oil_CT_1,102,Adams,Oil_CT,5,33.3576784424,-113.825933492
10,102_Oil_CT_2,102,Adams,Oil_CT,5,33.3576784424,-113.825933492
11,102_Coal_1,102,Adams,Coal,2,33.3576784424,-113.825933492
12,102_Coal_2,102,Adams,Coal,2,33.3576784424,-113.825933492
13,102_PV_1,102,Adams,Solar,8,33.3576784424,-113.825933492
14,102_PV_2,102,Adams,Solar,8,33.3576784424,-113.825933492
15,103_PV_1,103,Adler,Solar,8,33.5368328224,-114.670399127
16,104_PV_1,104,Agricola,Solar,8,33.8123035235,-113.825419052
17,107_Gas_CC_1,107,Alder,Gas_CC,4,34.6972619565,-113.701308807
18,113_Gas_CT_1,113,Arne,Gas_CT,3,34.3542803354,-114.274656952
19,113_Gas_CT_2,113,Arne,Gas_CT,3,34.3542803354,-114.274656952
20,113_Gas_CT_3,113,Arne,Gas_CT,3,34.3542803354,-114.274656952
21,113_Gas_CT_4,113,Arne,Gas_CT,3,34.3542803354,-114.274656952
22,113_PV_1,113,Arne,Solar,8,34.3542803354,-114.274656952
23,115_Oil_ST_1,115,Arthur,Oil_ST,6,33.5061837182,-115.329508431
24,115_Oil_ST_2,115,Arthur,Oil_ST,6,33.5061837182,-115.329508431
25,115_Coal_1,115,Arthur,Coal,2,33.5061837182,-115.329508431
26,116_Coal_1,116,Asser,Coal,2,33.661031241,-115.321058013
27,118_Gas_CC_1,118,Astor,Gas_CC,4,33.5445308225,-115.799955998
28,119_PV_1,119,Attar,Solar,8,33.8690789137,-115.369130552
29,121_Nuclear_1,121,Attlee,Nuclear,1,33.5271214704,-116.070777995
30,122_Hydro_1,122,Aubrey,Hydro,11,32.8188640659,-116.324347339
31,122_Hydro_2,122,Aubrey,Hydro,11,32.8188640659,-116.324347339
32,122_Hydro_3,122,Aubrey,Hydro,11,32.8188640659,-116.324347339
33,122_Hydro_4,122,Aubrey,Hydro,11,32.8188640659,-116.324347339
34,122_Hydro_5,122,Aubrey,Hydro,11,32.8188640659,-116.324347339
35,122_Hydro_6,122,Aubrey,Hydro,11,32.8188640659,-116.324347339
36,122_Wind_1,122,Aubrey,Wind,7,32.8188640659,-116.324347339
37,123_Coal_1,123,Austen,Coal,2,34.382000271,-115.068788423
38,123_Coal_2,123,Austen,Coal,2,34.382000271,-115.068788423
39,123_Gas_CT_1,123,Austen,Gas_CT,3,34.382000271,-115.068788423
40,123_Gas_CT_2,123,Austen,Gas_CT,3,34.382000271,-115.068788423
41,123_Gas_CT_3,123,Austen,Gas_CT,3,34.382000271,-115.068788423
42,201_Oil_CT_1,201,Bach,Oil_CT,5,36.2556635986,-113.721495941
43,201_Oil_CT_2,201,Bach,Oil_CT,5,36.2556635986,-113.721495941
44,201_Coal_1,201,Bach,Coal,2,36.2556635986,-113.721495941
45,201_Hydro_1,201,Bach,Hydro,11,36.2556635986,-113.721495941
46,202_Oil_CT_1,202,Bacon,Oil_CT,5,36.2899625624,-113.745998474
47,202_Oil_CT_2,202,Bacon,Oil_CT,5,36.2899625624,-113.745998474
48,202_Coal_1,202,Bacon,Coal,2,36.2899625624,-113.745998474
49,202_Coal_2,202,Bacon,Coal,2,36.2899625624,-113.745998474
50,207_Gas_CT_1,207,Baker,Gas_CT,3,36.0524666349,-113.082849386
51,207_Gas_CT_2,207,Baker,Gas_CT,3,36.0524666349,-113.082849386
52,213_Gas_CC_1,213,Barlow,Gas_CC,4,36.1460954035,-114.622896434
53,213_Gas_CT_1,213,Barlow,Gas_CT,3,36.1460954035,-114.622896434
54,213_Gas_CT_2,213,Barlow,Gas_CT,3,36.1460954035,-114.622896434
55,215_Gas_CT_1,215,Barton,Gas_CT,3,35.148590889,-114.575774314
56,215_Gas_CT_1,215,Barton,Gas_CT,3,35.148590889,-114.575774314
57,215_Hydro_1,215,Barton,Hydro,11,35.148590889,-114.575774314
58,215_Hydro_2,215,Barton,Hydro,11,35.148590889,-114.575774314
59,215_Hydro_3,215,Barton,Hydro,11,35.148590889,-114.575774314
60,215_PV_1,215,Barton,Solar,8,35.148590889,-114.575774314
61,216_Coal_1,216,Basov,Coal,2,35.261489569,-114.730762649
62,218_Gas_CC_1,218,Bayle,Gas_CC,4,35.1149069391,-115.077882263
63,221_Gas_CC_1,221,Behring,Gas_CC,4,35.3163216007,-115.197942427
64,222_Hydro_1,222,Bell,Hydro,11,36.3309810416,-115.2902095
65,222_Hydro_2,222,Bell,Hydro,11,36.3309810416,-115.2902095
66,222_Hydro_3,222,Bell,Hydro,11,36.3309810416,-115.2902095
67,222_Hydro_4,222,Bell,Hydro,11,36.3309810416,-115.2902095
68,222_Hydro_5,222,Bell,Hydro,11,36.3309810416,-115.2902095
69,222_Hydro_6,222,Bell,Hydro,11,36.3309810416,-115.2902095
70,223_Coal_1,223,Bloch,Coal,2,35.824349648,-115.536445586
71,223_Coal_2,223,Bloch,Coal,2,35.824349648,-115.536445586
72,223_Coal_3,223,Bloch,Coal,2,35.824349648,-115.536445586
73,223_Gas_CT_1,223,Bloch,Gas_CT,3,35.824349648,-115.536445586
74,223_Gas_CT_2,223,Bloch,Gas_CT,3,35.824349648,-115.536445586
75,223_Gas_CT_3,223,Bloch,Gas_CT,3,35.824349648,-115.536445586
76,301_Oil_CT_1,301,Cabell,Oil_CT,5,35.0475821979,-118.821765372
77,301_Oil_CT_2,301,Cabell,Oil_CT,5,35.0475821979,-118.821765372
78,301_Gas_CT_1,301,Cabell,Gas_CT,3,35.0475821979,-118.821765372
79,301_Gas_CT_2,301,Cabell,Gas_CT,3,35.0475821979,-118.821765372
80,302_Oil_CT_1,302,Cabot,Oil_CT,5,35.0299368836,-118.86485954
81,302_Oil_CT_2,302,Cabot,Oil_CT,5,35.0299368836,-118.86485954
82,302_Gas_CT_1,302,Cabot,Gas_CT,3,35.0299368836,-118.86485954
83,302_Gas_CT_2,302,Cabot,Gas_CT,3,35.0299368836,-118.86485954
84,303_Wind_1,303,Caesar,Wind,7,35.2175425288,-118.043549932
85,307_Gas_CT_1,307,Carew,Gas_CT,3,34.1012656245,-118.878177963
86,307_Gas_CT_2,307,Carew,Gas_CT,3,34.1012656245,-118.878177963
87,309_Wind_1,309,Carter,Wind,7,34.7357579346,-118.127342032
88,310_PV_1,310,Caruso,Solar,8,34.7293159072,-118.104524763
89,310_PV_2,310,Caruso,Solar,8,34.7293159072,-118.104524763
90,312_PV_1,312,Caxton,Solar,8,34.7229630722,-118.119887368
91,313_Gas_CC_1,313,Cecil,Gas_CC,4,34.2652681351,-118.018855064
92,313_PV_1,313,Cecil,Solar,8,34.2652681351,-118.018855064
93,313_PV_2,313,Cecil,Solar,8,34.2652681351,-118.018855064
94,313_ES_1,313,Cecil,ES,10,34.2652681351,-118.018855064
95,314_PV_1,314,Chain,Solar,8,34.9449642304,-117.684879151
96,314_PV_2,314,Chain,Solar,8,34.9449642304,-117.684879151
97,314_PV_3,314,Chain,Solar,8,34.9449642304,-117.684879151
98,314_PV_4,314,Chain,Solar,8,34.9449642304,-117.684879151
99,315_Oil_ST_1,315,Chase,Oil_ST,6,35.2659701248,-117.386433534
100,315_Oil_ST_2,315,Chase,Oil_ST,6,35.2659701248,-117.386433534
101,315_Oil_ST_3,315,Chase,Oil_ST,6,35.2659701248,-117.386433534
102,315_Oil_ST_4,315,Chase,Oil_ST,6,35.2659701248,-117.386433534
103,315_Oil_ST_5,315,Chase,Oil_ST,6,35.2659701248,-117.386433534
104,315_Gas_CT_1,315,Chase,Gas_CT,3,35.2659701248,-117.386433534
105,315_Gas_CT_2,315,Chase,Gas_CT,3,35.2659701248,-117.386433534
106,315_Gas_CT_3,315,Chase,Gas_CT,3,35.2659701248,-117.386433534
107,316_Coal_1,316,Chifa,Coal,2,35.138367105,-117.25158864
108,317_Wind_1,317,Chuhsi,Wind,7,35.3784334079,-117.055829458
109,318_Gas_CC_1,318,Clark,Gas_CC,4,35.5058132288,-116.976571399
110,319_PV_1,319,Clay,Solar,8,34.9176311996,-117.124419518
111,320_PV_1,320,Clive,Solar,8,34.4624656255,-117.063508273
112,321_Gas_CC_1,321,Cobb,Gas_CC,4,35.7453443807,-117.115362793
113,322_Gas_CT_1,322,Cole,Gas_CT,3,36.4389584791,-117.485271734
114,322_Gas_CT_2,322,Cole,Gas_CT,3,36.4389584791,-117.485271734
115,322_Hydro_1,322,Cole,Hydro,11,36.4389584791,-117.485271734
116,322_Hydro_2,322,Cole,Hydro,11,36.4389584791,-117.485271734
