Gen_num,Gen_name,Cap,MinCap,HR,Min Down Time Hr,Min Up Time Hr,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,AGC capable,Fast start
1,101_Oil_CT_1,20,8,10.352,1,1,1,0,0,5,5,5,0.4,0.6,0.8,1,13114,9456,9476,10352,1,1
2,101_Oil_CT_2,20,8,10.352,1,1,1,0,0,5,5,5,0.4,0.6,0.8,1,13114,9456,9476,10352,1,1
3,101_Coal_1,76,30,8.549,4,8,12,10,3,5284.8,4861.4,3379.4,0.394736842,0.596491228,0.798245614,1,13270,6713,8028,8549,1,0
4,101_Coal_2,76,30,8.549,4,8,12,10,3,5284.8,4861.4,3379.4,0.394736842,0.596491228,0.798245614,1,13270,6713,8028,8549,1,0
9,102_Oil_CT_1,20,8,9.622,1,1,1,0,0,5,5,5,0.4,0.6,0.8,1,14639,8597,9147,9622,1,1
10,102_Oil_CT_2,20,8,9.622,1,1,1,0,0,5,5,5,0.4,0.6,0.8,1,14639,8597,9147,9622,1,1
11,102_Coal_1,76,30,10.651,4,8,12,10,3,5284.8,4861.4,3379.4,0.394736842,0.596491228,0.798245614,1,11591,8734,9861,10651,1,0
12,102_Coal_2,76,30,10.651,4,8,12,10,3,5284.8,4861.4,3379.4,0.394736842,0.596491228,0.798245614,1,11591,8734,9861,10651,1,0
17,107_Gas_CC_1,355,50,7.854,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,7222,5970,6892,7854,1,1
18,113_Gas_CT_1,55,22,7.797,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,13125,6899,7602,7797,1,1
19,113_Gas_CT_2,55,22,7.797,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,13125,6899,7602,7797,1,1
20,113_Gas_CT_3,55,22,7.797,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,13125,6899,7602,7797,1,1
21,113_Gas_CT_4,55,22,7.797,2.2,2.2,1,0.75,0.25,1457.4,1122.5,452.8,0.4,0.6,0.8,1,13125,6899,7602,7797,1,1
23,115_Oil_ST_1,12,5,12.913,2,4,12,4,2,68,44,38,0.416666667,0.611111111,0.805555556,1,17340,12030,12083,12913,1,0
