time,1_A_Solar_1,1_A_Solar_2,1_A_Solar_3,1_A_Solar_4,1_A_Solar_5,1_A_Solar_Cand,1_A_Solar,1_A_Solar_RT,2_B_CSP,2_B_Solar_Cand,2_B_Solar,2_B_Solar_RT,3_C_Solar_1,3_C_Solar_2,3_C_Solar_3,3_C_Solar_4,3_C_Solar_5,3_C_Solar_6,3_C_Solar_Cand,3_C_Solar,3_C_Solar_RT_1,3_C_Solar_RT_2,3_C_Solar_RT
2019-12-31 17:00:00-07:00,24.06904823,31.4538625,12.95329061,47.80804266,34.188801,0.466691699,48.8159517,47.26159539,229.1033134,0.585932252,68.16969001,7.212246658,53.54383049,103.8569501,141.1649921,105.0162989,30.23410422,87.66039931,0.582286559,58.83438005,444.3137039,86.24922754,55.26732474
2019-12-31 18:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31 19:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31 20:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31 21:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31 22:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31 23:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 00:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 01:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 02:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 03:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 04:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 06:00:00-07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
