Gen_num,Gen_name,PMax MW,PMin MW,Min Down Time Hr,Min Up Time Hr,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,Fast start,AGC capable
1,101_Abel_Coal,152,60,4,8,12,10,3,10569.6,9722.8,6758.8,0.394736842,0.596491228,0.798245614,1,13270,6713,8028,8549,0,1
2,102_Adams_Coal,152,60,4,8,12,10,3,10569.6,9722.8,6758.8,0.394736842,0.596491228,0.798245614,1,11591,8734,9861,10651,0,1
3,115_Arthur_Coal,155,62,8,8,60,11,3,10778.1,7437.5,6892.1,0.4,0.6,0.8,1,11446,9650,10640,12796,0,1
4,116_Asser_Coal,155,62,8,8,60,11,3,10778.1,7437.5,6892.1,0.4,0.6,0.8,1,13238,9312,10158,11294,0,1
5,123_Austen_Coal,505,202,48,24,96,12,8,28162.2,17551.9,16660.3,0.4,0.6,0.8,1,12106,9453,10240,11087,0,1
6,201_Bach_Coal,76,30,4,8,12,10,3,5284.8,4861.4,3379.4,0.394736842,0.596491228,0.798245614,1,12989,10495,11090,12185,0,1
7,202_Bacon_Coal,152,60,4,8,12,10,3,10569.6,9722.8,6758.8,0.394736842,0.596491228,0.798245614,1,11846,9989,10070,12902,0,1
8,216_Basov_Coal,155,62,8,8,60,11,3,10778.1,7437.5,6892.1,0.4,0.6,0.8,1,10881,8786,10333,11191,0,1
9,223_Bloch_Coal,660,264,48,24,96,12,8,38940.3,24989.4,23552.4,0.4,0.6,0.8,1,11229,8922,10913,11645,0,1
10,316_Chifa_Coal,155,62,8,8,60,11,3,10778.1,7437.5,6892.1,0.4,0.6,0.8,1,11846,9989,10070,12902,0,1
12,107_Alder_Gas_CC,355,170,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,7222,5970,6892,7854,1,1
13,118_Astor_Gas_CC,355,170,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,7257,5808,7140,8351,1,1
14,213_Barlow_Gas_CC,355,170,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,7824,6334,6979,8749,1,1
15,218_Bayle_Gas_CC,355,170,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,11385,5388,5575,7658,1,1
16,221_Behring_Gas_CC,355,170,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,6887,5950,6772,9293,1,1
17,313_Cecil_Gas_CC,355,170,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,7934,4047,6883,8683,1,1
18,318_Clark_Gas_CC,355,170,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,7952,6906,7017,8111,1,1
19,321_Cobb_Gas_CC,355,170,4.5,8,2,1,0.5,7215.1,4536.1,3196.6,0.478873239,0.65258216,0.82629108,1,7227,5848,6665,8733,1,1
20,323_Comte_Gas_CC,710,340,4.5,8,2,1,0.5,14430.2,9072.2,6393.2,0.478873239,0.65258216,0.82629108,1,7381,6799,7789,8162,1,1
21,113_Arne_Gas_CT,220,88,2.2,2.2,1,0.75,0.25,5829.6,4490,1811.2,0.4,0.6,0.8,1,13125,6899,7602,7797,1,1
22,123_Austen_Gas_CT,165,66,2.2,2.2,1,0.75,0.25,4372.2,3367.5,1358.4,0.4,0.6,0.8,1,12725,6757,7667,7998,1,1
23,207_Baker_Gas_CT,110,44,2.2,2.2,1,0.75,0.25,2914.8,2245,905.6,0.4,0.6,0.8,1,13051,8804,9481,10955,1,1
24,213_Barlow_Gas_CT,110,44,2.2,2.2,1,0.75,0.25,2914.8,2245,905.6,0.4,0.6,0.8,1,13125,6899,7602,7797,1,1
25,215_Barton_Gas_CT,110,44,2.2,2.2,1,0.75,0.25,2914.8,2245,905.6,0.4,0.6,0.8,1,14229,6668,6987,8421,1,1
26,223_Bloch_Gas_CT,165,66,2.2,2.2,1,0.75,0.25,4372.2,3367.5,1358.4,0.4,0.6,0.8,1,19794,9595,10225,10676,1,1
27,301_Cabell_Gas_CT,110,44,2.2,2.2,1,0.75,0.25,2914.8,2245,905.6,0.4,0.6,0.8,1,13090,7324,7534,11253,1,1
28,302_Cabot_Gas_CT,110,44,2.2,2.2,1,0.75,0.25,2914.8,2245,905.6,0.4,0.6,0.8,1,15395,8693,9874,9939,1,1
