Gen_num,Gen_name,Bus_num,Bus,Tech,Tech_Num,LAT,LON
1,101_Abel_Coal,101,Abel,Coal,2,33.39610326,-113.835642
2,102_Adams_Coal,102,Adams,Coal,2,33.35767844,-113.8259335
3,115_Arthur_Coal,115,Arthur,Coal,2,33.50618372,-115.3295084
4,116_Asser_Coal,116,Asser,Coal,2,33.66103124,-115.321058
5,123_Austen_Coal,123,Austen,Coal,2,34.38200027,-115.0687884
6,201_Bach_Coal,201,Bach,Coal,2,36.2556636,-113.7214959
7,202_Bacon_Coal,202,Bacon,Coal,2,36.28996256,-113.7459985
8,216_Basov_Coal,216,Basov,Coal,2,35.26148957,-114.7307626
9,223_Bloch_Coal,223,Bloch,Coal,2,35.82434965,-115.5364456
10,316_Chifa_Coal,316,Chifa,Coal,2,35.13836711,-117.2515886
11,212_Barkla_CSP,212,Barkla,CSP,12,35.79144538,-114.1461651
12,107_Alder_Gas_CC,107,Alder,Gas_CC,4,34.69726196,-113.7013088
13,118_Astor_Gas_CC,118,Astor,Gas_CC,4,33.54453082,-115.799956
14,213_Barlow_Gas_CC,213,Barlow,Gas_CC,4,36.1460954,-114.6228964
15,218_Bayle_Gas_CC,218,Bayle,Gas_CC,4,35.11490694,-115.0778823
16,221_Behring_Gas_CC,221,Behring,Gas_CC,4,35.3163216,-115.1979424
17,313_Cecil_Gas_CC,313,Cecil,Gas_CC,4,34.26526814,-118.0188551
18,318_Clark_Gas_CC,318,Clark,Gas_CC,4,35.50581323,-116.9765714
19,321_Cobb_Gas_CC,321,Cobb,Gas_CC,4,35.74534438,-117.1153628
20,323_Comte_Gas_CC,323,Comte,Gas_CC,4,34.25300337,-117.1132211
21,113_Arne_Gas_CT,113,Arne,Gas_CT,3,34.35428034,-114.274657
22,123_Austen_Gas_CT,123,Austen,Gas_CT,3,34.38200027,-115.0687884
23,207_Baker_Gas_CT,207,Baker,Gas_CT,3,36.05246663,-113.0828494
24,213_Barlow_Gas_CT,213,Barlow,Gas_CT,3,36.1460954,-114.6228964
25,215_Barton_Gas_CT,215,Barton,Gas_CT,3,35.14859089,-114.5757743
26,223_Bloch_Gas_CT,223,Bloch,Gas_CT,3,35.82434965,-115.5364456
27,301_Cabell_Gas_CT,301,Cabell,Gas_CT,3,35.0475822,-118.8217654
28,302_Cabot_Gas_CT,302,Cabot,Gas_CT,3,35.02993688,-118.8648595
29,307_Carew_Gas_CT,307,Carew,Gas_CT,3,34.10126562,-118.878178
30,315_Chase_Gas_CT,315,Chase,Gas_CT,3,35.26597012,-117.3864335
31,322_Cole_Gas_CT,322,Cole,Gas_CT,3,36.43895848,-117.4852717
32,122_Aubrey_Hydro,122,Aubrey,Hydro,11,32.81886407,-116.3243473
33,201_Bach_Hydro,201,Bach,Hydro,11,36.2556636,-113.7214959
34,215_Barton_Hydro,215,Barton,Hydro,11,35.14859089,-114.5757743
35,222_Bell_Hydro,222,Bell,Hydro,11,36.33098104,-115.2902095
36,322_Cole_Hydro,322,Cole,Hydro,11,36.43895848,-117.4852717
37,121_Attlee_Nuclear,121,Attlee,Nuclear,1,33.52712147,-116.070778
38,101_Abel_Oil_CT,101,Abel,Oil_CT,5,33.39610326,-113.835642
39,102_Adams_Oil_CT,102,Adams,Oil_CT,5,33.35767844,-113.8259335
40,201_Bach_Oil_CT,201,Bach,Oil_CT,5,36.2556636,-113.7214959
41,202_Bacon_Oil_CT,202,Bacon,Oil_CT,5,36.28996256,-113.7459985
42,301_Cabell_Oil_CT,301,Cabell,Oil_CT,5,35.0475822,-118.8217654
43,302_Cabot_Oil_CT,302,Cabot,Oil_CT,5,35.02993688,-118.8648595
44,115_Arthur_Oil_ST,115,Arthur,Oil_ST,6,33.50618372,-115.3295084
45,315_Chase_Oil_ST,315,Chase,Oil_ST,6,35.26597012,-117.3864335
46,101_Abel_Solar,101,Abel,Solar,8,33.39610326,-113.835642
47,102_Adams_Solar,102,Adams,Solar,8,33.35767844,-113.8259335
48,103_Adler_Solar,103,Adler,Solar,8,33.53683282,-114.6703991
49,104_Agricola_Solar,104,Agricola,Solar,8,33.81230352,-113.8254191
50,113_Arne_Solar,113,Arne,Solar,8,34.35428034,-114.274657
51,119_Attar_Solar,119,Attar,Solar,8,33.86907891,-115.3691306
52,215_Barton_Solar,215,Barton,Solar,8,35.14859089,-114.5757743
53,310_Caruso_Solar,310,Caruso,Solar,8,34.72931591,-118.1045248
54,312_Caxton_Solar,312,Caxton,Solar,8,34.72296307,-118.1198874
55,313_Cecil_Solar,313,Cecil,Solar,8,34.26526814,-118.0188551
56,314_Chain_Solar,314,Chain,Solar,8,34.94496423,-117.6848792
57,319_Clay_Solar,319,Clay,Solar,8,34.9176312,-117.1244195
