datetime,year,month,day1,day,hour,temp_C,IT_MW,PUE,Lpeak_sys_MW,normalized
1/1/2020 0:00,2020,1,1,1/1/2020,1,13.116,99.497,1.112,458.2871818,0.578198573
1/1/2020 1:00,2020,1,1,1/1/2020,2,12.851,100.877,1.107,458.2781513,0.57818718
1/1/2020 2:00,2020,1,1,1/1/2020,3,10.034,100.385,1.08,458.2691504,0.578175824
1/1/2020 3:00,2020,1,1,1/1/2020,4,9.497,99.374,1.08,458.2601792,0.578164506
1/1/2020 4:00,2020,1,1,1/1/2020,5,8.79,99.617,1.08,458.2512377,0.578153225
1/1/2020 5:00,2020,1,1,1/1/2020,6,9.509,100.739,1.08,458.2423259,0.578141981
1/1/2020 6:00,2020,1,1,1/1/2020,7,7.98,98.836,1.08,458.2334439,0.578130775
1/1/2020 7:00,2020,1,1,1/1/2020,8,5.989,101.046,1.08,489.4680321,0.617537931
1/1/2020 8:00,2020,1,1,1/1/2020,9,6.319,97.638,1.08,564.8875475,0.712691053
1/1/2020 9:00,2020,1,1,1/1/2020,10,5.72,99.822,1.08,640.3070925,0.807844212
1/1/2020 10:00,2020,1,1,1/1/2020,11,4.875,100.648,1.08,671.5417699,0.847251481
1/1/2020 11:00,2020,1,1,1/1/2020,12,5.492,101.199,1.08,671.5330365,0.847240462
1/1/2020 12:00,2020,1,1,1/1/2020,13,6.022,101.402,1.08,671.5243327,0.847229481
1/1/2020 13:00,2020,1,1,1/1/2020,14,7.721,97.889,1.08,671.5156588,0.847218537
1/1/2020 14:00,2020,1,1,1/1/2020,15,8.997,99.806,1.08,671.5070145,0.847207631
1/1/2020 15:00,2020,1,1,1/1/2020,16,8.596,100.622,1.08,671.4984,0.847196763
1/1/2020 16:00,2020,1,1,1/1/2020,17,12.036,100.578,1.091,671.4898153,0.847185932
1/1/2020 17:00,2020,1,1,1/1/2020,18,12.294,100.981,1.096,671.4812603,0.847175139
1/1/2020 18:00,2020,1,1,1/1/2020,19,13.059,96.947,1.111,671.472735,0.847164383
1/1/2020 19:00,2020,1,1,1/1/2020,20,13.638,99.633,1.123,605.0906885,0.763413394
1/1/2020 20:00,2020,1,1,1/1/2020,21,15.619,100.356,1.162,538.7086717,0.679662443
1/1/2020 21:00,2020,1,1,1/1/2020,22,14.349,99.949,1.137,538.7002357,0.6796518
1/1/2020 22:00,2020,1,1,1/1/2020,23,14.202,98.825,1.134,538.6918296,0.679641194
1/1/2020 23:00,2020,1,1,1/1/2020,24,14.475,99.879,1.14,498.3852258,0.628788319
1/2/2020 0:00,2020,1,2,1/2/2020,1,13.19,99.482,1.114,458.0786518,0.577935481
1/2/2020 1:00,2020,1,2,1/2/2020,2,12.89,98.906,1.108,458.070335,0.577924988
1/2/2020 2:00,2020,1,2,1/2/2020,3,11.255,100.278,1.08,458.062048,0.577914533
1/2/2020 3:00,2020,1,2,1/2/2020,4,10.081,100.505,1.08,458.0537908,0.577904115
1/2/2020 4:00,2020,1,2,1/2/2020,5,9.831,100.064,1.08,458.0455635,0.577893735
1/2/2020 5:00,2020,1,2,1/2/2020,6,7.742,100.575,1.08,458.0373659,0.577883393
1/2/2020 6:00,2020,1,2,1/2/2020,7,6.145,100.478,1.08,458.0291981,0.577873088
1/2/2020 7:00,2020,1,2,1/2/2020,8,5.147,99.104,1.08,489.2645008,0.617281145
1/2/2020 8:00,2020,1,2,1/2/2020,9,5.753,102.563,1.08,564.6847307,0.712435169
1/2/2020 9:00,2020,1,2,1/2/2020,10,4.783,101.87,1.08,640.1049904,0.80758923
1/2/2020 10:00,2020,1,2,1/2/2020,11,6.307,102.657,1.08,671.3403825,0.8469974
1/2/2020 11:00,2020,1,2,1/2/2020,12,6.377,102.661,1.08,671.3323639,0.846987283
1/2/2020 12:00,2020,1,2,1/2/2020,13,6.617,102.211,1.08,671.3243751,0.846977204
1/2/2020 13:00,2020,1,2,1/2/2020,14,7.269,102.125,1.08,671.3164162,0.846967163
1/2/2020 14:00,2020,1,2,1/2/2020,15,8.812,100.395,1.08,671.3084871,0.846957159
1/2/2020 15:00,2020,1,2,1/2/2020,16,10.501,101.879,1.08,671.3005878,0.846947193
1/2/2020 16:00,2020,1,2,1/2/2020,17,11.871,102.279,1.087,671.2927184,0.846937265
1/2/2020 17:00,2020,1,2,1/2/2020,18,11.309,102.201,1.08,671.2848789,0.846927374
1/2/2020 18:00,2020,1,2,1/2/2020,19,14.711,102.027,1.144,671.2770692,0.846917521
1/2/2020 19:00,2020,1,2,1/2/2020,20,13.385,101.069,1.118,604.8957383,0.763167435
1/2/2020 20:00,2020,1,2,1/2/2020,21,13.402,99.529,1.118,538.5144373,0.679417387
1/2/2020 21:00,2020,1,2,1/2/2020,22,15.742,99.464,1.165,538.5067172,0.679407647
1/2/2020 22:00,2020,1,2,1/2/2020,23,15.321,99.246,1.156,538.499027,0.679397944
1/2/2020 23:00,2020,1,2,1/2/2020,24,14.65,100.606,1.143,498.1931393,0.628545973
1/3/2020 0:00,2020,1,3,1/3/2020,1,12.65,101.592,1.103,457.8872814,0.577694039
1/3/2020 1:00,2020,1,3,1/3/2020,2,13.119,97.749,1.112,457.8796809,0.577684449
1/3/2020 2:00,2020,1,3,1/3/2020,3,11.097,99.023,1.08,457.8721102,0.577674898
1/3/2020 3:00,2020,1,3,1/3/2020,4,8.913,99.48,1.08,457.8645695,0.577665384
1/3/2020 4:00,2020,1,3,1/3/2020,5,8.333,101.382,1.08,457.8570587,0.577655908
1/3/2020 5:00,2020,1,3,1/3/2020,6,6.782,98.179,1.08,457.8495778,0.57764647
1/3/2020 6:00,2020,1,3,1/3/2020,7,7.587,98.631,1.08,457.8421267,0.577637069
1/3/2020 7:00,2020,1,3,1/3/2020,8,7.094,100.392,1.08,489.0781462,0.617046031
1/3/2020 8:00,2020,1,3,1/3/2020,9,4.877,103.76,1.08,564.499093,0.712200959
1/3/2020 9:00,2020,1,3,1/3/2020,10,5.43,100.975,1.08,639.9200698,0.807355925
1/3/2020 10:00,2020,1,3,1/3/2020,11,6.024,103.027,1.08,671.156179,0.846764999
1/3/2020 11:00,2020,1,3,1/3/2020,12,5.222,104.316,1.08,671.1488776,0.846755788
1/3/2020 12:00,2020,1,3,1/3/2020,13,7.615,102.759,1.08,671.1416062,0.846746614
1/3/2020 13:00,2020,1,3,1/3/2020,14,6.988,103.173,1.08,671.1343646,0.846737477
1/3/2020 14:00,2020,1,3,1/3/2020,15,7.758,103.679,1.08,671.127153,0.846728379
1/3/2020 15:00,2020,1,3,1/3/2020,16,9.351,103.679,1.08,671.1199714,0.846719318
1/3/2020 16:00,2020,1,3,1/3/2020,17,10.888,101.452,1.08,671.1128197,0.846710295
1/3/2020 17:00,2020,1,3,1/3/2020,18,11.576,100.549,1.082,671.1056979,0.84670131
1/3/2020 18:00,2020,1,3,1/3/2020,19,14.155,99.917,1.133,671.0986061,0.846692363
1/3/2020 19:00,2020,1,3,1/3/2020,20,13.902,102.287,1.128,604.7179931,0.762943182
1/3/2020 20:00,2020,1,3,1/3/2020,21,13.205,100.606,1.114,538.3374101,0.67919404
