datetime,year,month,day1,day,hour,temp_C,IT_MW,PUE,Lpeak_sys_MW,normalized
1/1/2020 0:00,2020,1,1,1/1/2020,1,13.116,99.497,1.112,449.3470654,0.553351454
1/1/2020 1:00,2020,1,1,1/1/2020,2,12.851,100.877,1.107,449.3380349,0.553340333
1/1/2020 2:00,2020,1,1,1/1/2020,3,10.034,100.385,1.08,449.329034,0.553329249
1/1/2020 3:00,2020,1,1,1/1/2020,4,9.497,99.374,1.08,449.3200628,0.553318201
1/1/2020 4:00,2020,1,1,1/1/2020,5,8.79,99.617,1.08,449.3111214,0.55330719
1/1/2020 5:00,2020,1,1,1/1/2020,6,9.509,100.739,1.08,449.3022096,0.553296216
1/1/2020 6:00,2020,1,1,1/1/2020,7,7.98,98.836,1.08,449.2933275,0.553285278
1/1/2020 7:00,2020,1,1,1/1/2020,8,5.989,101.046,1.08,479.4567114,0.590430179
1/1/2020 8:00,2020,1,1,1/1/2020,9,6.319,97.638,1.08,552.2901108,0.680121356
1/1/2020 9:00,2020,1,1,1/1/2020,10,5.72,99.822,1.08,625.1235398,0.769812571
1/1/2020 10:00,2020,1,1,1/1/2020,11,4.875,100.648,1.08,655.2870129,0.806957582
1/1/2020 11:00,2020,1,1,1/1/2020,12,5.492,101.199,1.08,655.2782794,0.806946827
1/1/2020 12:00,2020,1,1,1/1/2020,13,6.022,101.402,1.08,655.2695757,0.806936108
1/1/2020 13:00,2020,1,1,1/1/2020,14,7.721,97.889,1.08,655.2609017,0.806925427
1/1/2020 14:00,2020,1,1,1/1/2020,15,8.997,99.806,1.08,655.2522575,0.806914782
1/1/2020 15:00,2020,1,1,1/1/2020,16,8.596,100.622,1.08,655.243643,0.806904173
1/1/2020 16:00,2020,1,1,1/1/2020,17,12.036,100.578,1.091,655.2350582,0.806893602
1/1/2020 17:00,2020,1,1,1/1/2020,18,12.294,100.981,1.096,655.2265033,0.806883067
1/1/2020 18:00,2020,1,1,1/1/2020,19,13.059,96.947,1.111,655.217978,0.806872568
1/1/2020 19:00,2020,1,1,1/1/2020,20,13.638,99.633,1.123,591.1115974,0.727928336
1/1/2020 20:00,2020,1,1,1/1/2020,21,15.619,100.356,1.162,527.0052466,0.648984141
1/1/2020 21:00,2020,1,1,1/1/2020,22,14.349,99.949,1.137,526.9968107,0.648973753
1/1/2020 22:00,2020,1,1,1/1/2020,23,14.202,98.825,1.134,526.9884045,0.648963401
1/1/2020 23:00,2020,1,1,1/1/2020,24,14.475,99.879,1.14,488.0634551,0.601029011
1/2/2020 0:00,2020,1,2,1/2/2020,1,13.19,99.482,1.114,449.1385354,0.553094658
1/2/2020 1:00,2020,1,2,1/2/2020,2,12.89,98.906,1.108,449.1302186,0.553084416
1/2/2020 2:00,2020,1,2,1/2/2020,3,11.255,100.278,1.08,449.1219316,0.553074211
1/2/2020 3:00,2020,1,2,1/2/2020,4,10.081,100.505,1.08,449.1136745,0.553064043
1/2/2020 4:00,2020,1,2,1/2/2020,5,9.831,100.064,1.08,449.1054471,0.553053911
1/2/2020 5:00,2020,1,2,1/2/2020,6,7.742,100.575,1.08,449.0972495,0.553043816
1/2/2020 6:00,2020,1,2,1/2/2020,7,6.145,100.478,1.08,449.0890818,0.553033758
1/2/2020 7:00,2020,1,2,1/2/2020,8,5.147,99.104,1.08,479.2531801,0.590179539
1/2/2020 8:00,2020,1,2,1/2/2020,9,5.753,102.563,1.08,552.087294,0.679871596
1/2/2020 9:00,2020,1,2,1/2/2020,10,4.783,101.87,1.08,624.9214377,0.769563691
1/2/2020 10:00,2020,1,2,1/2/2020,11,6.307,102.657,1.08,655.0856255,0.806709582
1/2/2020 11:00,2020,1,2,1/2/2020,12,6.377,102.661,1.08,655.0776069,0.806699707
1/2/2020 12:00,2020,1,2,1/2/2020,13,6.617,102.211,1.08,655.0696181,0.806689869
1/2/2020 13:00,2020,1,2,1/2/2020,14,7.269,102.125,1.08,655.0616591,0.806680068
1/2/2020 14:00,2020,1,2,1/2/2020,15,8.812,100.395,1.08,655.0537301,0.806670304
1/2/2020 15:00,2020,1,2,1/2/2020,16,10.501,101.879,1.08,655.0458308,0.806660576
1/2/2020 16:00,2020,1,2,1/2/2020,17,11.871,102.279,1.087,655.0379614,0.806650885
1/2/2020 17:00,2020,1,2,1/2/2020,18,11.309,102.201,1.08,655.0301219,0.806641231
1/2/2020 18:00,2020,1,2,1/2/2020,19,14.711,102.027,1.144,655.0223122,0.806631614
1/2/2020 19:00,2020,1,2,1/2/2020,20,13.385,101.069,1.118,590.9166473,0.727688264
1/2/2020 20:00,2020,1,2,1/2/2020,21,13.402,99.529,1.118,526.8110122,0.64874495
1/2/2020 21:00,2020,1,2,1/2/2020,22,15.742,99.464,1.165,526.8032921,0.648735443
1/2/2020 22:00,2020,1,2,1/2/2020,23,15.321,99.246,1.156,526.795602,0.648725973
