datetime,year,month,day1,day,hour,system_wide
1/1/2020 0:00,2020,1,1,1/1/2020,1,3337.331884
1/1/2020 1:00,2020,1,1,1/1/2020,2,3261.045823
1/1/2020 2:00,2020,1,1,1/1/2020,3,3247.17265
1/1/2020 3:00,2020,1,1,1/1/2020,4,3264.598321
1/1/2020 4:00,2020,1,1,1/1/2020,5,3402.858433
1/1/2020 5:00,2020,1,1,1/1/2020,6,3672.211107
1/1/2020 6:00,2020,1,1,1/1/2020,7,3948.505719
1/1/2020 7:00,2020,1,1,1/1/2020,8,3986.759406
1/1/2020 8:00,2020,1,1,1/1/2020,9,4002.672232
1/1/2020 9:00,2020,1,1,1/1/2020,10,4032.336286
1/1/2020 10:00,2020,1,1,1/1/2020,11,4023.089346
1/1/2020 11:00,2020,1,1,1/1/2020,12,4014.027883
1/1/2020 12:00,2020,1,1,1/1/2020,13,3980.797066
1/1/2020 13:00,2020,1,1,1/1/2020,14,3958.54615
1/1/2020 14:00,2020,1,1,1/1/2020,15,3929.231137
1/1/2020 15:00,2020,1,1,1/1/2020,16,3912.80087
1/1/2020 16:00,2020,1,1,1/1/2020,17,4057.433272
1/1/2020 17:00,2020,1,1,1/1/2020,18,4578.057226
1/1/2020 18:00,2020,1,1,1/1/2020,19,4554.393766
1/1/2020 19:00,2020,1,1,1/1/2020,20,4449.398154
1/1/2020 20:00,2020,1,1,1/1/2020,21,4291.819143
1/1/2020 21:00,2020,1,1,1/1/2020,22,4016.216875
1/1/2020 22:00,2020,1,1,1/1/2020,23,3707.115587
1/1/2020 23:00,2020,1,1,1/1/2020,24,3453.596868
1/2/2020 0:00,2020,1,2,1/2/2020,1,3304.32247
1/2/2020 1:00,2020,1,2,1/2/2020,2,3238.814285
1/2/2020 2:00,2020,1,2,1/2/2020,3,3206.44546
1/2/2020 3:00,2020,1,2,1/2/2020,4,3225.951536
1/2/2020 4:00,2020,1,2,1/2/2020,5,3340.176883
1/2/2020 5:00,2020,1,2,1/2/2020,6,3589.510878
1/2/2020 6:00,2020,1,2,1/2/2020,7,3856.578952
1/2/2020 7:00,2020,1,2,1/2/2020,8,3866.832072
1/2/2020 8:00,2020,1,2,1/2/2020,9,3914.199464
1/2/2020 9:00,2020,1,2,1/2/2020,10,3960.705282
1/2/2020 10:00,2020,1,2,1/2/2020,11,4000.194398
1/2/2020 11:00,2020,1,2,1/2/2020,12,4032.146723
1/2/2020 12:00,2020,1,2,1/2/2020,13,4030.866206
1/2/2020 13:00,2020,1,2,1/2/2020,14,4049.692653
1/2/2020 14:00,2020,1,2,1/2/2020,15,4035.105828
1/2/2020 15:00,2020,1,2,1/2/2020,16,3993.972271
1/2/2020 16:00,2020,1,2,1/2/2020,17,4113.936523
1/2/2020 17:00,2020,1,2,1/2/2020,18,4541.270659
1/2/2020 18:00,2020,1,2,1/2/2020,19,4519.404825
1/2/2020 19:00,2020,1,2,1/2/2020,20,4396.128147
1/2/2020 20:00,2020,1,2,1/2/2020,21,4230.415438
1/2/2020 21:00,2020,1,2,1/2/2020,22,3961.808562
1/2/2020 22:00,2020,1,2,1/2/2020,23,3654.622537
1/2/2020 23:00,2020,1,2,1/2/2020,24,3408.88239
1/3/2020 0:00,2020,1,3,1/3/2020,1,3268.125923
1/3/2020 1:00,2020,1,3,1/3/2020,2,3191.466141
1/3/2020 2:00,2020,1,3,1/3/2020,3,3165.812642
1/3/2020 3:00,2020,1,3,1/3/2020,4,3183.587663
1/3/2020 4:00,2020,1,3,1/3/2020,5,3283.288249
1/3/2020 5:00,2020,1,3,1/3/2020,6,3532.166727
1/3/2020 6:00,2020,1,3,1/3/2020,7,3800.232163
1/3/2020 7:00,2020,1,3,1/3/2020,8,3831.668974
1/3/2020 8:00,2020,1,3,1/3/2020,9,3925.012427
1/3/2020 9:00,2020,1,3,1/3/2020,10,3978.075719
1/3/2020 10:00,2020,1,3,1/3/2020,11,4040.035887
1/3/2020 11:00,2020,1,3,1/3/2020,12,4076.101666
1/3/2020 12:00,2020,1,3,1/3/2020,13,4075.642992
1/3/2020 13:00,2020,1,3,1/3/2020,14,4081.639755
1/3/2020 14:00,2020,1,3,1/3/2020,15,4069.301565
1/3/2020 15:00,2020,1,3,1/3/2020,16,4026.396778
1/3/2020 16:00,2020,1,3,1/3/2020,17,3976.312271
1/3/2020 17:00,2020,1,3,1/3/2020,18,4451.799923
1/3/2020 18:00,2020,1,3,1/3/2020,19,4370.271818
1/3/2020 19:00,2020,1,3,1/3/2020,20,4226.842913
1/3/2020 20:00,2020,1,3,1/3/2020,21,4071.27911
1/3/2020 21:00,2020,1,3,1/3/2020,22,3879.706211
1/3/2020 22:00,2020,1,3,1/3/2020,23,3640.051069
1/3/2020 23:00,2020,1,3,1/3/2020,24,3424.957869
1/4/2020 0:00,2020,1,4,1/4/2020,1,3272.427365
1/4/2020 1:00,2020,1,4,1/4/2020,2,3195.548177
1/4/2020 2:00,2020,1,4,1/4/2020,3,3158.80343
1/4/2020 3:00,2020,1,4,1/4/2020,4,3143.663207
1/4/2020 4:00,2020,1,4,1/4/2020,5,3196.491962
1/4/2020 5:00,2020,1,4,1/4/2020,6,3310.219552
1/4/2020 6:00,2020,1,4,1/4/2020,7,3433.20588
1/4/2020 7:00,2020,1,4,1/4/2020,8,3457.286948
1/4/2020 8:00,2020,1,4,1/4/2020,9,3546.809656
1/4/2020 9:00,2020,1,4,1/4/2020,10,3622.943128
1/4/2020 10:00,2020,1,4,1/4/2020,11,3648.355578
1/4/2020 11:00,2020,1,4,1/4/2020,12,3623.661643
1/4/2020 12:00,2020,1,4,1/4/2020,13,3611.762465
1/4/2020 13:00,2020,1,4,1/4/2020,14,3553.194234
1/4/2020 14:00,2020,1,4,1/4/2020,15,3519.14075
1/4/2020 15:00,2020,1,4,1/4/2020,16,3490.580605
1/4/2020 16:00,2020,1,4,1/4/2020,17,3642.595508
1/4/2020 17:00,2020,1,4,1/4/2020,18,4071.928697
1/4/2020 18:00,2020,1,4,1/4/2020,19,4093.322064
1/4/2020 19:00,2020,1,4,1/4/2020,20,4008.511607
1/4/2020 20:00,2020,1,4,1/4/2020,21,3893.378088
1/4/2020 21:00,2020,1,4,1/4/2020,22,3735.368891
1/4/2020 22:00,2020,1,4,1/4/2020,23,3541.576155
1/4/2020 23:00,2020,1,4,1/4/2020,24,3380.19868
1/5/2020 0:00,2020,1,5,1/5/2020,1,3255.312109
1/5/2020 1:00,2020,1,5,1/5/2020,2,3186.29604
1/5/2020 2:00,2020,1,5,1/5/2020,3,3153.440943
1/5/2020 3:00,2020,1,5,1/5/2020,4,3155.548809
1/5/2020 4:00,2020,1,5,1/5/2020,5,3194.020143
1/5/2020 5:00,2020,1,5,1/5/2020,6,3276.675067
1/5/2020 6:00,2020,1,5,1/5/2020,7,3376.69325
1/5/2020 7:00,2020,1,5,1/5/2020,8,3371.102046
1/5/2020 8:00,2020,1,5,1/5/2020,9,3417.320537
1/5/2020 9:00,2020,1,5,1/5/2020,10,3459.828025
1/5/2020 10:00,2020,1,5,1/5/2020,11,3466.810287
1/5/2020 11:00,2020,1,5,1/5/2020,12,3461.020017
1/5/2020 12:00,2020,1,5,1/5/2020,13,3442.893135
1/5/2020 13:00,2020,1,5,1/5/2020,14,3425.809498
1/5/2020 14:00,2020,1,5,1/5/2020,15,3418.08932
1/5/2020 15:00,2020,1,5,1/5/2020,16,3413.028477
