datetime,year,day,70,71,72
1/1/2020 0:00,2020,1/1/2021,0,0,0
1/1/2020 1:00,2020,1/1/2021,0,0,0
1/1/2020 2:00,2020,1/1/2021,0,0,0
1/1/2020 3:00,2020,1/1/2021,0,0,0
1/1/2020 4:00,2020,1/1/2021,0,0,0
1/1/2020 5:00,2020,1/1/2021,0,0,0
1/1/2020 6:00,2020,1/1/2021,0,0,0
1/1/2020 7:00,2020,1/1/2021,0.509992006,0.449910709,0.384028341
1/1/2020 8:00,2020,1/1/2021,0.657873701,0.606185602,0.587618063
1/1/2020 9:00,2020,1/1/2021,0.6882494,0.672420967,0.666083282
1/1/2020 10:00,2020,1/1/2021,0.692246203,0.70826537,0.699504975
1/1/2020 11:00,2020,1/1/2021,0.679456435,0.716576818,0.692843022
1/1/2020 12:00,2020,1/1/2021,0.675459632,0.704515164,0.678604855
1/1/2020 13:00,2020,1/1/2021,0.646682654,0.659918684,0.657004974
1/1/2020 14:00,2020,1/1/2021,0.572342126,0.550984823,0.592733975
1/1/2020 15:00,2020,1/1/2021,0.32853717,0.319037398,0.398489559
1/1/2020 16:00,2020,1/1/2021,0,0,0
1/1/2020 17:00,2020,1/1/2021,0,0,0
1/1/2020 18:00,2020,1/1/2021,0,0,0
1/1/2020 19:00,2020,1/1/2021,0,0,0
1/1/2020 20:00,2020,1/1/2021,0,0,0
1/1/2020 21:00,2020,1/1/2021,0,0,0
1/1/2020 22:00,2020,1/1/2021,0,0,0
1/1/2020 23:00,2020,1/1/2021,0,0,0
1/2/2020 0:00,2020,1/2/2021,0,0,0
1/2/2020 1:00,2020,1/2/2021,0,0,0
1/2/2020 2:00,2020,1/2/2021,0,0,0
1/2/2020 3:00,2020,1/2/2021,0,0,0
1/2/2020 4:00,2020,1/2/2021,0,0,0
1/2/2020 5:00,2020,1/2/2021,0,0,0
1/2/2020 6:00,2020,1/2/2021,0,0,0
1/2/2020 7:00,2020,1/2/2021,0.504396483,0.448704946,0.387258034
1/2/2020 8:00,2020,1/2/2021,0.629096723,0.616821424,0.592851988
1/2/2020 9:00,2020,1/2/2021,0.673860911,0.689301258,0.67289717
1/2/2020 10:00,2020,1/2/2021,0.701039169,0.715500968,0.695365423
1/2/2020 11:00,2020,1/2/2021,0.698641087,0.720698028,0.696975007
1/2/2020 12:00,2020,1/2/2021,0.683453237,0.701730091,0.686972306
1/2/2020 13:00,2020,1/2/2021,0.649080735,0.65557684,0.655506142
1/2/2020 14:00,2020,1/2/2021,0.575539568,0.559864936,0.5853423
1/2/2020 15:00,2020,1/2/2021,0.332533973,0.320402488,0.391900562
1/2/2020 16:00,2020,1/2/2021,0,0,0
1/2/2020 17:00,2020,1/2/2021,0,0,0
1/2/2020 18:00,2020,1/2/2021,0,0,0
1/2/2020 19:00,2020,1/2/2021,0,0,0
1/2/2020 20:00,2020,1/2/2021,0,0,0
1/2/2020 21:00,2020,1/2/2021,0,0,0
1/2/2020 22:00,2020,1/2/2021,0,0,0
1/2/2020 23:00,2020,1/2/2021,0,0,0
1/3/2020 0:00,2020,1/3/2021,0,0,0
1/3/2020 1:00,2020,1/3/2021,0,0,0
1/3/2020 2:00,2020,1/3/2021,0,0,0
1/3/2020 3:00,2020,1/3/2021,0,0,0
1/3/2020 4:00,2020,1/3/2021,0,0,0
1/3/2020 5:00,2020,1/3/2021,0,0,0
