datetime,year,day,73,74,75
1/1/2020 0:00,2020,1/1/2021,0.999579537,0.920716088,0.841852638
1/1/2020 1:00,2020,1/1/2021,0.999018921,0.946454252,0.893889582
1/1/2020 2:00,2020,1/1/2021,0.992852137,0.91695682,0.841061504
1/1/2020 3:00,2020,1/1/2021,0.996075683,0.905948889,0.815822096
1/1/2020 4:00,2020,1/1/2021,0.983041345,0.882748746,0.782456146
1/1/2020 5:00,2020,1/1/2021,0.956552207,0.825750762,0.694949317
1/1/2020 6:00,2020,1/1/2021,0.86152768,0.711584206,0.561640731
1/1/2020 7:00,2020,1/1/2021,0.725578136,0.579178441,0.432778746
1/1/2020 8:00,2020,1/1/2021,0.597897687,0.496449812,0.395001936
1/1/2020 9:00,2020,1/1/2021,0.384302733,0.324721414,0.265140095
1/1/2020 10:00,2020,1/1/2021,0.130343378,0.159299767,0.188256157
1/1/2020 11:00,2020,1/1/2021,0.008829713,0.107004316,0.205178919
1/1/2020 12:00,2020,1/1/2021,0.005325858,0.060050165,0.114774472
1/1/2020 13:00,2020,1/1/2021,0.001541696,0.0453411,0.089140505
1/1/2020 14:00,2020,1/1/2021,0,0.012462951,0.024925902
1/1/2020 15:00,2020,1/1/2021,0,0.025309763,0.050619525
1/1/2020 16:00,2020,1/1/2021,0.001261388,0.06363921,0.126017033
1/1/2020 17:00,2020,1/1/2021,0.387245971,0.314646689,0.242047408
1/1/2020 18:00,2020,1/1/2021,0.382480729,0.314255693,0.246030658
1/1/2020 19:00,2020,1/1/2021,0.48437281,0.403667078,0.322961346
1/1/2020 20:00,2020,1/1/2021,0.577014716,0.485992921,0.394971125
1/1/2020 21:00,2020,1/1/2021,0.527820603,0.485542468,0.443264334
1/1/2020 22:00,2020,1/1/2021,0.786685354,0.598591892,0.41049843
1/1/2020 23:00,2020,1/1/2021,0.7966363,0.578262103,0.359887906
1/2/2020 0:00,2020,1/2/2021,0.882971268,0.61064178,0.338312292
1/2/2020 1:00,2020,1/2/2021,0.942256482,0.63472159,0.327186698
1/2/2020 2:00,2020,1/2/2021,0.926839523,0.631134371,0.335429218
1/2/2020 3:00,2020,1/2/2021,0.916608269,0.63129289,0.345977511
1/2/2020 4:00,2020,1/2/2021,0.917168886,0.6387476,0.360326315
1/2/2020 5:00,2020,1/2/2021,0.933987386,0.655234008,0.376480629
1/2/2020 6:00,2020,1/2/2021,0.962438683,0.655371522,0.348304361
1/2/2020 7:00,2020,1/2/2021,0.966082691,0.652777241,0.339471791
1/2/2020 8:00,2020,1/2/2021,0.958374212,0.64988882,0.341403428
1/2/2020 9:00,2020,1/2/2021,0.979117029,0.660025679,0.340934329
1/2/2020 10:00,2020,1/2/2021,1,0.668398813,0.336797625
1/2/2020 11:00,2020,1/2/2021,0.995515067,0.666009656,0.336504246
1/2/2020 12:00,2020,1/2/2021,0.984162579,0.664733527,0.345304475
1/2/2020 13:00,2020,1/2/2021,0.979957954,0.655460446,0.330962937
1/2/2020 14:00,2020,1/2/2021,0.962718991,0.643255989,0.323792986
1/2/2020 15:00,2020,1/2/2021,0.974632095,0.659344362,0.344056628
1/2/2020 16:00,2020,1/2/2021,0.99831815,0.698990991,0.399663832
1/2/2020 17:00,2020,1/2/2021,0.998458304,0.675763292,0.35306828
1/2/2020 18:00,2020,1/2/2021,0.998177996,0.697321618,0.396465241
1/2/2020 19:00,2020,1/2/2021,0.996776454,0.689483744,0.382191035
1/2/2020 20:00,2020,1/2/2021,0.997757533,0.670251332,0.342745131
1/2/2020 21:00,2020,1/2/2021,0.9764541,0.690199271,0.403944443
1/2/2020 22:00,2020,1/2/2021,0.966643308,0.753046478,0.539449648
1/2/2020 23:00,2020,1/2/2021,0.934267694,0.757477746,0.580687798
