datetime,year,day,66,67,68,69
1/1/2020 0:00,2020,1/1/2021,713.2,480.8,142.8,795.1
1/1/2020 1:00,2020,1/1/2021,712.8,634.9,139.1,794.4
1/1/2020 2:00,2020,1/1/2021,708.4,487.3,145.3,773.6
1/1/2020 3:00,2020,1/1/2021,710.7,432.7,144.8,767.3
1/1/2020 4:00,2020,1/1/2021,701.4,407.9,137.1,752.2
1/1/2020 5:00,2020,1/1/2021,682.5,440.2,98.6,719.4
1/1/2020 6:00,2020,1/1/2021,614.7,377.3,62.2,655.3
1/1/2020 7:00,2020,1/1/2021,517.7,199.3,47.3,594.6
1/1/2020 8:00,2020,1/1/2021,426.6,110.6,48.9,579.1
1/1/2020 9:00,2020,1/1/2021,274.2,3.6,30.7,466.8
1/1/2020 10:00,2020,1/1/2021,93,2.4,27.4,301.4
1/1/2020 11:00,2020,1/1/2021,6.3,56.2,60.9,110.7
1/1/2020 12:00,2020,1/1/2021,3.8,91.5,20.4,78.9
1/1/2020 13:00,2020,1/1/2021,1.1,103,1.6,107.9
1/1/2020 14:00,2020,1/1/2021,0,39.7,0,22.3
1/1/2020 15:00,2020,1/1/2021,0,87.7,2.6,24.6
1/1/2020 16:00,2020,1/1/2021,0.9,92.3,37.9,10.8
1/1/2020 17:00,2020,1/1/2021,276.3,89.4,46.9,243.2
1/1/2020 18:00,2020,1/1/2021,272.9,90.4,24,375.2
1/1/2020 19:00,2020,1/1/2021,345.6,81.1,24,568.4
1/1/2020 20:00,2020,1/1/2021,411.7,172.9,27.4,636.1
1/1/2020 21:00,2020,1/1/2021,376.6,326.9,6.5,719.2
1/1/2020 22:00,2020,1/1/2021,561.3,256.7,1.3,734.9
1/1/2020 23:00,2020,1/1/2021,568.4,141.1,0.1,729.1
1/2/2020 0:00,2020,1/2/2021,630,52.6,0.8,757.1
1/2/2020 1:00,2020,1/2/2021,672.3,17.4,2.7,753.4
1/2/2020 2:00,2020,1/2/2021,661.3,8.9,11.4,734.3
1/2/2020 3:00,2020,1/2/2021,654,7,18.3,724.2
1/2/2020 4:00,2020,1/2/2021,654.4,11.6,23.6,725.7
1/2/2020 5:00,2020,1/2/2021,666.4,23.3,24.6,748
1/2/2020 6:00,2020,1/2/2021,686.7,16.1,10.3,764.3
1/2/2020 7:00,2020,1/2/2021,689.3,20.5,5.6,764.3
1/2/2020 8:00,2020,1/2/2021,683.8,35.2,3.7,765.3
1/2/2020 9:00,2020,1/2/2021,698.6,33.4,0.8,781.5
1/2/2020 10:00,2020,1/2/2021,713.5,22.9,0,785.8
1/2/2020 11:00,2020,1/2/2021,710.3,31.8,0,776.7
1/2/2020 12:00,2020,1/2/2021,702.2,79.6,0,752.7
1/2/2020 13:00,2020,1/2/2021,699.2,82.8,0,715.3
1/2/2020 14:00,2020,1/2/2021,686.9,49,0,730
1/2/2020 15:00,2020,1/2/2021,695.4,98.9,0,731.5
1/2/2020 16:00,2020,1/2/2021,712.3,219.6,0.6,747.7
